version,inserted_at
20211116024918,Fri Jan 23 2026 20:14:15 GMT-0400 (Horário Padrão do Amazonas)
20211116045059,Fri Jan 23 2026 20:14:15 GMT-0400 (Horário Padrão do Amazonas)
20211116050929,Fri Jan 23 2026 20:14:16 GMT-0400 (Horário Padrão do Amazonas)
20211116051442,Fri Jan 23 2026 20:14:16 GMT-0400 (Horário Padrão do Amazonas)
20211116212300,Fri Jan 23 2026 20:14:16 GMT-0400 (Horário Padrão do Amazonas)
20211116213355,Fri Jan 23 2026 20:14:16 GMT-0400 (Horário Padrão do Amazonas)
20211116213934,Fri Jan 23 2026 20:14:16 GMT-0400 (Horário Padrão do Amazonas)
20211116214523,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
20211122062447,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
20211124070109,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
20211202204204,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
20211202204605,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
20211210212804,Fri Jan 23 2026 20:14:18 GMT-0400 (Horário Padrão do Amazonas)
20211228014915,Fri Jan 23 2026 20:14:18 GMT-0400 (Horário Padrão do Amazonas)
20220107221237,Fri Jan 23 2026 20:14:18 GMT-0400 (Horário Padrão do Amazonas)
20220228202821,Fri Jan 23 2026 20:14:19 GMT-0400 (Horário Padrão do Amazonas)
20220312004840,Fri Jan 23 2026 20:14:19 GMT-0400 (Horário Padrão do Amazonas)
20220603231003,Fri Jan 23 2026 21:34:54 GMT-0400 (Horário Padrão do Amazonas)
20220603232444,Fri Jan 23 2026 21:34:55 GMT-0400 (Horário Padrão do Amazonas)
20220615214548,Fri Jan 23 2026 21:34:55 GMT-0400 (Horário Padrão do Amazonas)
20220712093339,Fri Jan 23 2026 21:34:55 GMT-0400 (Horário Padrão do Amazonas)
20220908172859,Fri Jan 23 2026 21:34:55 GMT-0400 (Horário Padrão do Amazonas)
20220916233421,Fri Jan 23 2026 21:34:56 GMT-0400 (Horário Padrão do Amazonas)
20230119133233,Fri Jan 23 2026 21:34:56 GMT-0400 (Horário Padrão do Amazonas)
20230128025114,Fri Jan 23 2026 21:34:56 GMT-0400 (Horário Padrão do Amazonas)
20230128025212,Fri Jan 23 2026 21:34:56 GMT-0400 (Horário Padrão do Amazonas)
20230227211149,Fri Jan 23 2026 21:34:56 GMT-0400 (Horário Padrão do Amazonas)
20230228184745,Fri Jan 23 2026 21:34:57 GMT-0400 (Horário Padrão do Amazonas)
20230308225145,Fri Jan 23 2026 21:34:57 GMT-0400 (Horário Padrão do Amazonas)
20230328144023,Fri Jan 23 2026 21:34:57 GMT-0400 (Horário Padrão do Amazonas)
20231018144023,Fri Jan 23 2026 21:34:57 GMT-0400 (Horário Padrão do Amazonas)
20231204144023,Fri Jan 23 2026 21:34:57 GMT-0400 (Horário Padrão do Amazonas)
20231204144024,Fri Jan 23 2026 21:34:58 GMT-0400 (Horário Padrão do Amazonas)
20231204144025,Fri Jan 23 2026 21:34:58 GMT-0400 (Horário Padrão do Amazonas)
20240108234812,Fri Jan 23 2026 21:34:58 GMT-0400 (Horário Padrão do Amazonas)
20240109165339,Fri Jan 23 2026 21:34:58 GMT-0400 (Horário Padrão do Amazonas)
20240227174441,Fri Jan 23 2026 21:34:59 GMT-0400 (Horário Padrão do Amazonas)
20240311171622,Fri Jan 23 2026 21:34:59 GMT-0400 (Horário Padrão do Amazonas)
20240321100241,Fri Jan 23 2026 21:34:59 GMT-0400 (Horário Padrão do Amazonas)
20240401105812,Fri Jan 23 2026 21:35:00 GMT-0400 (Horário Padrão do Amazonas)
20240418121054,Fri Jan 23 2026 21:35:00 GMT-0400 (Horário Padrão do Amazonas)
20240523004032,Fri Jan 23 2026 21:35:01 GMT-0400 (Horário Padrão do Amazonas)
20240618124746,Fri Jan 23 2026 21:35:01 GMT-0400 (Horário Padrão do Amazonas)
20240801235015,Fri Jan 23 2026 21:35:01 GMT-0400 (Horário Padrão do Amazonas)
20240805133720,Fri Jan 23 2026 21:35:01 GMT-0400 (Horário Padrão do Amazonas)
20240827160934,Fri Jan 23 2026 21:35:01 GMT-0400 (Horário Padrão do Amazonas)
20240919163303,Fri Jan 23 2026 21:35:02 GMT-0400 (Horário Padrão do Amazonas)
20240919163305,Fri Jan 23 2026 21:35:02 GMT-0400 (Horário Padrão do Amazonas)
20241019105805,Fri Jan 23 2026 21:35:02 GMT-0400 (Horário Padrão do Amazonas)
20241030150047,Fri Jan 23 2026 21:35:03 GMT-0400 (Horário Padrão do Amazonas)
20241108114728,Fri Jan 23 2026 21:35:03 GMT-0400 (Horário Padrão do Amazonas)
20241121104152,Fri Jan 23 2026 21:35:03 GMT-0400 (Horário Padrão do Amazonas)
20241130184212,Fri Jan 23 2026 21:35:03 GMT-0400 (Horário Padrão do Amazonas)
20241220035512,Fri Jan 23 2026 21:35:04 GMT-0400 (Horário Padrão do Amazonas)
20241220123912,Fri Jan 23 2026 21:35:04 GMT-0400 (Horário Padrão do Amazonas)
20241224161212,Fri Jan 23 2026 21:35:04 GMT-0400 (Horário Padrão do Amazonas)
20250107150512,Fri Jan 23 2026 21:35:04 GMT-0400 (Horário Padrão do Amazonas)
20250110162412,Fri Jan 23 2026 21:35:04 GMT-0400 (Horário Padrão do Amazonas)
20250123174212,Fri Jan 23 2026 21:35:05 GMT-0400 (Horário Padrão do Amazonas)
20250128220012,Fri Jan 23 2026 21:35:05 GMT-0400 (Horário Padrão do Amazonas)
20250506224012,Fri Jan 23 2026 21:35:05 GMT-0400 (Horário Padrão do Amazonas)
