id,name,hash,executed_at
0,create-migrations-table,e18db593bcde2aca2a408c4d1100f6abba2195df,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
1,initialmigration,6ab16121fbaa08bbd11b712d05f358f9b555d777,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
3,pathtoken-column,2cb1b0004b817b29d5b0a971af16bafeede4b70d,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
4,add-migrations-rls,427c5b63fe1c5937495d9c635c263ee7a5905058,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
5,add-size-functions,79e081a1455b63666c1294a440f8ad4b1e6a7f84,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
7,add-rls-to-buckets,e7e7f86adbc51049f341dfe8d30256c1abca17aa,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
8,add-public-to-buckets,fd670db39ed65f9d08b01db09d6202503ca2bab3,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
11,add-trigger-to-auto-update-updated_at-column,7425bdb14366d1739fa8a18c83100636d74dcaa2,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
12,add-automatic-avif-detection-flag,8e92e1266eb29518b6a4c5313ab8f29dd0d08df9,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
13,add-bucket-custom-limits,cce962054138135cd9a8c4bcd531598684b25e7d,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
14,use-bytes-for-max-size,941c41b346f9802b411f06f30e972ad4744dad27,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
15,add-can-insert-object-function,934146bc38ead475f4ef4b555c524ee5d66799e5,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
16,add-version,76debf38d3fd07dcfc747ca49096457d95b1221b,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
17,drop-owner-foreign-key,f1cbb288f1b7a4c1eb8c38504b80ae2a0153d101,Fri Jan 23 2026 20:14:17 GMT-0400 (Horário Padrão do Amazonas)
